3.731824910892082130e+02,3.685517664952503765e+02,3.505399541545465354e+02,3.857312908241769946e+02,3.390570970554969108e+02,3.528770291907993624e+02,3.251442554668037701e+02,3.347844449692209423e+02,3.493182894654460711e+02,3.429378725196804680e+02
3.459130204289994026e+02,3.635686580333614302e+02,3.438181575002640216e+02,3.156889755028020090e+02,3.207181682436606707e+02,3.264147538884927826e+02,3.371106865840845330e+02,3.516020262921852009e+02,3.372117535475954924e+02,3.727333658475619131e+02
3.441961351358528987e+02,3.340340100125511640e+02,3.357919173712681413e+02,3.575315831348841584e+02,3.465268119789383832e+02,3.581690333488363649e+02,3.328898343792938022e+02,3.345050770821588912e+02,3.170059877165702460e+02,3.542433142213471911e+02
3.300913458329799823e+02,3.574623334734678792e+02,3.088217505501344249e+02,3.427497365553815030e+02,3.504065196685833143e+02,3.393358616512930439e+02,3.400129932284131655e+02,3.024351460242639860e+02,3.500934678346633859e+02,3.541926724337762380e+02
3.627984066617958092e+02,3.505518422292436185e+02,3.861132241839470680e+02,3.354571918317079735e+02,3.928344286773255476e+02,3.545675095140504141e+02,3.817821282363638034e+02,3.818626080705510617e+02,3.286024492962495742e+02,3.481385935667898366e+02
3.421520388803681385e+02,3.538167844651342193e+02,3.059327748268621576e+02,3.644838134024974465e+02,3.829101142642958848e+02,3.683449084842171715e+02,3.567546091042273702e+02,3.648412202425379292e+02,3.155342114384541219e+02,3.215581974548875905e+02
3.364752938960383517e+02,3.069881069758989725e+02,3.656621210788272833e+02,3.713749222818756834e+02,3.328965520927172861e+02,3.381256745128400780e+02,3.179284770116590266e+02,3.389059259805731017e+02,3.516683388969645421e+02,3.389753332082138968e+02
3.661615628524530166e+02,3.324640835270319030e+02,3.269924484044598785e+02,2.875745027251576857e+02,3.642370990706448879e+02,3.352466985266106576e+02,3.398218098337358697e+02,3.179539195430875225e+02,3.963973705773076972e+02,3.638728542441912168e+02
3.369608980308479431e+02,3.525391475783291071e+02,3.710170441625108424e+02,3.722123755940576189e+02,3.473632674536419245e+02,3.679271743204550376e+02,3.248128668939068007e+02,3.212556645318329629e+02,3.378151163748826207e+02,3.389596289726501936e+02
3.721351104455803807e+02,3.450589043551274244e+02,3.658475241336298041e+02,3.670745459589230109e+02,3.523098735160459682e+02,3.499861232987988728e+02,3.498115021909158031e+02,3.748554762056002119e+02,3.488718052918293324e+02,3.551680649001181678e+02
3.321524504436335974e+02,3.078570247675156679e+02,3.501047202198608375e+02,3.269544708532178561e+02,3.892452815226571374e+02,3.656201282224146780e+02,3.401394723710238850e+02,3.457965390803836954e+02,3.660271072781262092e+02,2.833089076545268199e+02
3.423218539265561731e+02,3.382905212339495620e+02,3.926949120604220980e+02,3.553141326260657706e+02,3.683178749745911773e+02,3.259387042898997038e+02,3.116223279876154493e+02,3.313525813121037800e+02,3.571783938924363611e+02,3.674530555787572439e+02
